,Time_spent_Alone,Stage_fear,Social_event_attendance,Going_outside,Drained_after_socializing,Friends_circle_size,Post_frequency,Personality
2446,10.0,Yes,3.0,0.0,Yes,6.268862911795962,2.0,Introvert
2466,8.0,Yes,1.0,2.0,Yes,1.0,1.0,Introvert
2467,10.0,Yes,0.0,2.0,Yes,1.0,0.0,Introvert
2468,11.0,Yes,3.0,0.0,Yes,2.0,2.0,Introvert
2472,9.0,Yes,0.0,0.0,Yes,5.0,2.0,Introvert
2473,10.0,Yes,0.0,1.0,Yes,1.0,2.0,Introvert
2476,10.0,Yes,3.0,1.0,Yes,2.0,0.0,Introvert
2481,9.0,Yes,3.0,0.0,Yes,1.0,0.0,Introvert
2482,11.0,Yes,3.0,2.0,Yes,3.0,1.0,Introvert
2483,8.0,Yes,1.0,0.0,Yes,1.0,0.0,Extrovert
2485,9.0,Yes,0.0,2.0,Yes,1.0,1.0,Introvert
2486,11.0,Yes,1.0,2.0,Yes,3.0,1.0,Extrovert
2497,8.0,Yes,3.0,1.0,Yes,3.0,3.564726631393298,Introvert
2500,9.0,Yes,2.0,0.0,Yes,2.0,1.0,Introvert
2505,8.0,Yes,0.0,1.0,Yes,2.0,0.0,Introvert
2511,10.0,Yes,1.0,2.0,Yes,2.0,1.0,Introvert
2512,9.0,Yes,3.0,0.0,Yes,4.0,0.0,Introvert
2518,7.0,Yes,1.0,2.0,Yes,2.0,0.0,Introvert
2522,9.0,Yes,2.0,1.0,Yes,4.0,0.0,Extrovert
2525,7.0,Yes,0.0,0.0,Yes,1.0,1.0,Extrovert
2526,8.0,No,3.0,3.0,Yes,5.0,0.0,Introvert
2529,10.0,Yes,3.0,1.0,Yes,3.0,2.0,Introvert
2531,9.0,Yes,1.0,1.0,Yes,1.0,0.0,Extrovert
2532,7.0,Yes,1.0,0.0,Yes,2.0,1.0,Introvert
2533,9.0,Yes,3.0,0.0,Yes,2.0,0.0,Introvert
2544,7.0,Yes,2.0,2.0,Yes,4.0,0.0,Introvert
2554,7.0,Yes,1.0,0.0,Yes,2.0,1.0,Extrovert
2555,9.0,Yes,2.0,2.0,Yes,1.0,0.0,Extrovert
2556,11.0,Yes,2.0,2.0,Yes,4.0,2.0,Introvert
2558,8.0,Yes,2.0,2.0,Yes,2.0,0.0,Extrovert
2559,8.0,Yes,2.0,0.0,Yes,5.0,0.0,Introvert
2564,9.0,Yes,3.0,2.0,No,2.0,0.0,Introvert
2568,9.0,Yes,0.0,1.0,Yes,5.0,2.0,Introvert
2570,11.0,Yes,0.0,2.0,Yes,3.0,2.0,Extrovert
2573,8.0,Yes,3.0,0.0,Yes,2.0,0.0,Introvert
2577,9.0,Yes,1.0,0.0,Yes,4.0,1.0,Introvert
2587,8.0,Yes,1.0,1.0,Yes,1.0,0.0,Introvert
2590,9.0,Yes,3.0,0.0,Yes,2.0,2.0,Introvert
2594,9.0,Yes,2.0,1.0,Yes,3.0,3.564726631393298,Introvert
2601,8.0,Yes,1.0,1.0,Yes,5.0,2.0,Introvert
2603,11.0,Yes,2.0,0.0,Yes,5.0,0.0,Introvert
2607,10.0,Yes,3.0,0.0,Yes,1.0,2.0,Introvert
2608,7.0,Yes,1.0,0.0,Yes,5.0,2.0,Introvert
2610,10.0,Yes,3.0,0.0,Yes,3.0,1.0,Introvert
2611,8.0,Yes,2.0,2.0,Yes,5.0,1.0,Introvert
2615,8.0,Yes,3.963354474982382,1.0,Yes,2.0,0.0,Introvert
2616,10.0,Yes,1.0,0.0,Yes,2.0,1.0,Introvert
2621,9.0,Yes,3.0,2.0,No,2.0,0.0,Introvert
2622,10.0,Yes,3.0,1.0,Yes,4.0,3.564726631393298,Introvert
2627,7.0,Yes,1.0,0.0,Yes,6.268862911795962,1.0,Introvert
2629,11.0,No,2.0,1.0,Yes,2.0,1.0,Introvert
2631,9.0,Yes,3.963354474982382,0.0,Yes,3.0,0.0,Introvert
2632,7.0,Yes,2.0,2.0,Yes,2.0,0.0,Introvert
2633,11.0,Yes,3.0,2.0,Yes,3.0,2.0,Introvert
2635,10.0,No,0.0,2.0,Yes,3.0,1.0,Introvert
2647,8.0,Yes,2.0,1.0,Yes,2.0,0.0,Introvert
2648,10.0,Yes,0.0,1.0,Yes,3.0,1.0,Extrovert
2651,8.0,Yes,2.0,0.0,Yes,4.0,1.0,Extrovert
2653,9.0,Yes,2.0,0.0,Yes,3.0,2.0,Introvert
2655,9.0,Yes,3.0,0.0,Yes,5.0,2.0,Introvert
2660,9.0,No,1.0,0.0,Yes,4.0,0.0,Introvert
2662,8.0,Yes,2.0,0.0,Yes,1.0,0.0,Introvert
2664,11.0,Yes,2.0,0.0,Yes,5.0,1.0,Introvert
2665,8.0,Yes,2.0,0.0,Yes,2.0,0.0,Introvert
2666,11.0,Yes,2.0,2.0,Yes,3.0,0.0,Introvert
2669,9.0,Yes,2.0,1.0,Yes,2.0,2.0,Introvert
2673,10.0,Yes,0.0,2.0,Yes,4.0,0.0,Introvert
2675,7.0,Yes,3.0,0.0,Yes,1.0,2.0,Introvert
2676,11.0,Yes,1.0,0.0,Yes,2.0,1.0,Introvert
2677,8.0,Yes,1.0,0.0,Yes,3.0,1.0,Extrovert
2683,10.0,Yes,2.0,3.0,Yes,4.0,1.0,Introvert
2686,11.0,Yes,1.0,2.0,Yes,2.0,2.0,Introvert
2690,7.0,Yes,2.0,0.0,Yes,4.0,1.0,Introvert
2695,7.0,Yes,3.963354474982382,1.0,Yes,2.0,1.0,Introvert
2696,10.0,Yes,1.0,1.0,Yes,1.0,2.0,Introvert
2697,9.0,Yes,0.0,2.0,Yes,3.0,3.564726631393298,Introvert
2700,10.0,Yes,1.0,1.0,Yes,2.0,0.0,Introvert
2710,7.0,Yes,1.0,1.0,Yes,5.0,2.0,Introvert
2718,7.0,Yes,0.0,1.0,Yes,1.0,0.0,Introvert
2719,11.0,Yes,1.0,0.0,Yes,3.0,2.0,Introvert
2720,11.0,Yes,0.0,1.0,Yes,3.0,1.0,Introvert
2721,10.0,Yes,0.0,1.0,Yes,2.0,1.0,Introvert
2725,10.0,Yes,2.0,0.0,Yes,6.268862911795962,2.0,Introvert
2726,9.0,Yes,0.0,2.0,Yes,3.0,1.0,Introvert
2732,11.0,Yes,1.0,2.0,Yes,2.0,2.0,Introvert
2736,8.0,Yes,2.0,0.0,Yes,5.0,0.0,Introvert
2738,11.0,Yes,2.0,1.0,Yes,5.0,3.564726631393298,Introvert
2739,9.0,Yes,0.0,2.0,Yes,4.0,1.0,Introvert
2740,8.0,Yes,2.0,1.0,Yes,3.0,0.0,Introvert
2741,11.0,Yes,0.0,1.0,Yes,5.0,1.0,Introvert
2745,10.0,Yes,1.0,1.0,Yes,2.0,2.0,Introvert
2746,7.0,Yes,2.0,2.0,Yes,2.0,2.0,Introvert
2749,7.0,Yes,3.963354474982382,2.0,Yes,3.0,1.0,Introvert
2752,10.0,Yes,1.0,1.0,Yes,4.0,1.0,Introvert
2754,8.0,Yes,2.0,0.0,Yes,4.0,0.0,Extrovert
2757,10.0,Yes,2.0,0.0,Yes,5.0,3.564726631393298,Introvert
2758,7.0,Yes,2.0,2.0,Yes,5.0,2.0,Introvert
2761,9.0,Yes,0.0,2.0,Yes,1.0,0.0,Introvert
2765,8.0,Yes,3.0,0.0,Yes,2.0,1.0,Introvert
2768,10.0,Yes,0.0,0.0,Yes,4.0,1.0,Introvert
2769,10.0,Yes,1.0,0.0,Yes,1.0,0.0,Introvert
2773,11.0,Yes,2.0,2.0,Yes,2.0,1.0,Extrovert
2779,11.0,Yes,2.0,0.0,Yes,1.0,0.0,Extrovert
2780,10.0,Yes,3.0,0.0,Yes,1.0,0.0,Introvert
2783,10.0,Yes,2.0,1.0,Yes,4.0,0.0,Introvert
2794,7.0,Yes,3.963354474982382,0.0,Yes,1.0,2.0,Introvert
2796,10.0,Yes,0.0,1.0,Yes,3.0,0.0,Introvert
2797,8.0,Yes,3.0,2.0,Yes,3.0,0.0,Introvert
2805,7.0,Yes,2.0,1.0,Yes,1.0,0.0,Extrovert
2810,11.0,Yes,1.0,2.0,Yes,1.0,0.0,Introvert
2811,8.0,Yes,1.0,0.0,Yes,1.0,0.0,Introvert
2812,7.0,Yes,3.0,1.0,No,1.0,1.0,Introvert
2818,8.0,Yes,1.0,1.0,Yes,2.0,2.0,Introvert
2820,9.0,Yes,0.0,2.0,Yes,1.0,0.0,Introvert
2822,8.0,Yes,2.0,0.0,Yes,1.0,1.0,Introvert
2823,11.0,Yes,0.0,1.0,Yes,3.0,1.0,Introvert
2825,10.0,Yes,2.0,2.0,Yes,1.0,0.0,Extrovert
2830,8.0,Yes,1.0,0.0,Yes,2.0,1.0,Introvert
2833,11.0,Yes,0.0,0.0,Yes,3.0,2.0,Extrovert
2834,8.0,Yes,2.0,1.0,Yes,1.0,1.0,Introvert
2838,7.0,Yes,3.0,1.0,Yes,6.268862911795962,1.0,Introvert
2839,7.0,Yes,2.0,2.0,Yes,1.0,1.0,Extrovert
2843,10.0,Yes,2.0,1.0,Yes,3.0,1.0,Introvert
2844,11.0,Yes,1.0,0.0,Yes,3.0,2.0,Extrovert
2852,10.0,Yes,2.0,0.0,Yes,3.0,1.0,Extrovert
2862,9.0,Yes,2.0,0.0,Yes,3.0,2.0,Introvert
2867,8.0,Yes,3.0,3.0,Yes,4.0,2.0,Introvert
2873,8.0,Yes,2.0,1.0,Yes,2.0,1.0,Introvert
2879,9.0,Yes,2.0,1.0,Yes,5.0,0.0,Introvert
2883,7.0,Yes,2.0,2.0,Yes,1.0,1.0,Introvert
2884,11.0,Yes,0.0,2.0,Yes,3.0,1.0,Introvert
2885,10.0,Yes,0.0,0.0,No,2.0,0.0,Introvert
2886,7.0,Yes,0.0,0.0,Yes,5.0,2.0,Introvert
2890,8.0,Yes,2.0,0.0,Yes,1.0,2.0,Introvert
2892,9.0,Yes,2.0,0.0,Yes,1.0,2.0,Introvert
2893,9.0,No,2.0,0.0,Yes,4.0,2.0,Introvert
2898,11.0,Yes,1.0,3.0,Yes,2.0,0.0,Introvert
